nome,idade,cpf,data,endereco,estado
Melissa Teixeira,70,642.987.103-78,1953-11-03,"RESIDENCIAL DE PIRES, 28
LARANJEIRAS
90058-265 ALVES DE OLIVEIRA / RS",santa catarina
Dr. Vinicius Pires,38,163.584.079-10,1986-02-05,"DISTRITO DE LOPES, 397
ALTO DOS PINHEIROS
64452311 CALDEIRA DAS FLORES / MS",são paulo
Luiz Miguel Farias,87,962.834.750-00,1936-11-03,"FEIRA CARDOSO, 21
CONJUNTO MINAS CAIXA
66461-182 CARVALHO DE GOIÁS / RN",alagoas
Breno Correia,40,148.592.607-67,1983-05-07,"CONJUNTO DANIEL FERNANDES, 403
GARÇAS
71034367 DA CONCEIÇÃO DO CAMPO / GO",mato grosso do sul
Laís Costela,58,306.471.852-53,1966-01-18,"PARQUE MAITÊ SANTOS, 42
BOA VIAGEM
72176802 RIBEIRO ALEGRE / RS",são paulo
Dr. Diego Da Mata,20,293.810.754-41,2003-08-22,"QUADRA DE DA MOTA, 62
ALTO CAIÇARAS
27102-258 REZENDE DO GALHO / MG",são paulo
Letícia Da Mota,30,852.671.409-02,1993-05-24,"VIADUTO JESUS, 11
CONJUNTO JATOBA
20417-169 ALVES DE MONTEIRO / DF",rondônia
Luna Ferreira,54,843.729.051-14,1970-01-25,"ALAMEDA ANTHONY FOGAÇA, 11
MANTIQUEIRA
77508-379 ARAGÃO / RS",amapá
Dr. Emanuel Silveira,29,430.615.728-80,1994-04-23,"QUADRA DE FOGAÇA, 28
PANTANAL
51254-681 MONTEIRO / PI",piauí
Lorena Sales,44,263.185.049-15,1979-12-26,"FAZENDA CALDEIRA
SATELITE
32090552 FREITAS / AM",maranhão
Davi Da Mata,55,846.350.791-39,1969-02-19,"VILA ALVES
JARDIM ATLÂNTICO
71862-679 COSTA / DF",distrito federal
Isabel Melo,75,748.691.235-09,1948-12-28,"FEIRA ENRICO NOGUEIRA, 1
ITAIPU
30458-005 PEIXOTO / PB",mato grosso
Raul Oliveira,93,298.671.453-64,1931-01-03,"RUA PEDRO MIGUEL DA LUZ, 95
NOSSA SENHORA DO ROSÁRIO
81008796 MOREIRA DO AMPARO / PA",amazonas
Levi Da Mata,61,192.507.348-32,1962-10-21,"VILA DE DA MATA
CÔNEGO PINHEIRO 2ª SEÇÃO
25940-946 RODRIGUES / CE",pará
Heloísa Castro,62,587.410.632-44,1961-05-15,"SÍTIO DE CARDOSO, 88
ACAIACA
38458223 DIAS / RS",rio grande do norte
Sra. Júlia Da Paz,37,046.725.893-74,1986-08-19,"JARDIM MARIA SOPHIA FERREIRA, 95
VILA NOVA PARAÍSO
26195069 VIANA DE ROCHA / CE",pará
Luana Viana,26,213.679.850-21,1998-04-01,"PRAÇA DE CASTRO, 980
ERNESTO NASCIMENTO
34433-095 ALMEIDA / SE",sergipe
Sr. Renan Sales,22,364.790.582-83,2001-04-17,"PRAÇA OLIVIA SILVEIRA, 49
NOVO DAS INDUSTRIAS
30053-926 REZENDE DE DUARTE / AC",alagoas
Caio Aragão,22,714.325.068-62,2001-11-19,"ÁREA DE BARROS, 86
BOA ESPERANÇA
10087-478 FARIAS / RN",bahia
Srta. Lavínia Ribeiro,75,263.019.854-51,1948-11-19,"ALAMEDA GUSTAVO HENRIQUE GONÇALVES, 50
BEIJA FLOR
29914020 COSTA DE MINAS / RJ",são paulo
Sofia Da Mata,21,806.539.147-84,2002-05-16,"JARDIM DE LOPES, 7
PLANALTO
72162-664 DA LUZ / AM",santa catarina
André Araújo,43,819.260.374-13,1980-04-26,"ALAMEDA DE DA MOTA, 94
VILA PAQUETÁ
67514889 LIMA DO OESTE / CE",acre
Nathan Azevedo,85,285.976.143-82,1939-02-12,"LAGOA MILENA RAMOS, 4
CAIÇARA - ADELAIDE
27571-728 CARDOSO GRANDE / AM",roraima
Camila Teixeira,46,982.743.106-40,1977-08-13,"SETOR DA CUNHA, 39
JARDIM MONTANHÊS
78862288 ROCHA / RJ",paraná
Srta. Clara Souza,25,510.347.682-71,1998-08-20,"ÁREA PEIXOTO, 32
FLAVIO DE OLIVEIRA
00101-655 DUARTE DE MENDES / SE",santa catarina
Yuri Nascimento,57,129.578.463-73,1966-09-28,"VEREDA MATHEUS AZEVEDO, 2
SERRANO
64023-772 VIEIRA DE RIBEIRO / AC",espírito santo
Srta. Marcela Gonçalves,83,148.296.730-87,1940-11-03,"PRAIA RAUL CAMPOS, 12
CONJUNTO PROVIDENCIA
48882013 AZEVEDO / CE",pará
João Ramos,50,936.270.418-87,1973-08-28,"JARDIM ENZO DA PAZ, 47
VILA OURO MINAS
27148341 CAVALCANTI DE MINAS / PR",rio grande do sul
Renan Rocha,42,720.384.569-92,1981-10-08,"VALE OLIVEIRA, 22
NOVA SUÍÇA
87931-582 SALES / RS",maranhão
Sr. Caio Souza,50,453.618.092-33,1973-07-02,"CONJUNTO MARIA VITÓRIA DA CUNHA, 59
SERRA DO CURRAL
73310638 DUARTE DO CAMPO / MG",paraíba
Clarice Farias,55,743.692.081-22,1968-12-22,"ALAMEDA MARIA FERNANDA CASTRO, 87
MARAVILHA
46556-077 MARTINS / PI",roraima
Marcos Vinicius Jesus,72,597.862.304-00,1951-10-12,"PRAÇA DE MORAES, 588
NOVA AMERICA
32071661 DA ROCHA DO SUL / PA",ceará
João Pedro Nunes,34,910.853.462-42,1989-09-16,"JARDIM DE RAMOS, 69
VILA NOVA GAMELEIRA 3ª SEÇÃO
22927152 MARTINS GRANDE / PA",mato grosso
Levi Farias,45,659.421.730-52,1978-12-03,"QUADRA MENDES, 42
VILA PINHO
14608-340 MOREIRA / GO",rio grande do sul
Dr. Enzo Da Costa,40,791.654.308-75,1983-05-07,"CAMPO MARCELA SILVEIRA, 66
ÁLVARO CAMARGOS
06681-952 ALVES DO GALHO / AM",são paulo
Heloísa Alves,86,029.178.345-79,1937-10-06,"FAZENDA DE MORAES, 637
BURACO QUENTE
54488894 FERREIRA DE MOREIRA / PR",paraíba
Luiz Henrique Da Mota,20,842.957.163-91,2004-02-17,"RECANTO ALVES, 105
SAUDADE
04473467 DA MOTA DE MINAS / RR",rondônia
Camila Caldeira,54,903.721.486-03,1969-04-23,"LAGO JESUS, 71
FREI LEOPOLDO
96443895 DUARTE / MA",mato grosso do sul
Arthur Mendes,50,918.452.370-05,1973-12-23,"ESPLANADA CAUÃ TEIXEIRA
JARDIM AMÉRICA
82077031 MONTEIRO DO GALHO / SP",rondônia
João Felipe Campos,54,362.759.410-06,1970-03-28,"PRAIA HEITOR CASTRO, 6
JARDIM LEBLON
74490880 DA PAZ DE NUNES / MS",mato grosso
Guilherme Azevedo,61,174.509.362-16,1962-07-24,"VIELA BENJAMIN CAMPOS, 1
POMPÉIA
36240-367 MENDES DA PRATA / CE",distrito federal
Dra. Laura Cunha,46,364.701.829-50,1977-12-22,"NÚCLEO CASTRO, 7
MARIA HELENA
76215-850 DUARTE / BA",roraima
Noah Moraes,55,108.237.569-12,1969-04-03,"ESTRADA LUCAS GABRIEL CALDEIRA, 856
JOÃO PINHEIRO
66574452 CARDOSO / MG",goiás
Davi Lucca Lopes,33,260.158.347-90,1990-11-27,"TRECHO FREITAS, 427
ALTO DOS PINHEIROS
16352-238 MOURA / AP",maranhão
Sophia Da Cruz,39,621.439.805-15,1984-07-30,"VIA RIBEIRO
FLAVIO DE OLIVEIRA
85013933 LIMA DAS FLORES / PR",mato grosso
Igor Da Luz,46,740.681.529-85,1977-12-16,"LAGO SILVA, 75
VILA OESTE
67901-491 CUNHA DA SERRA / AC",bahia
Dr. Samuel Nascimento,86,692.581.734-73,1937-07-30,"TRAVESSA DUARTE, 59
BRASIL INDUSTRIAL
48304188 MOREIRA DE MINAS / RO",mato grosso
Maria Fernanda Freitas,66,968.451.273-28,1957-08-10,"FAVELA SARAH PORTO
CONJUNTO SÃO FRANCISCO DE ASSIS
82565112 DA ROSA DE GOIÁS / DF",tocantins
Eduarda Costa,28,206.795.138-68,1995-10-31,"MORRO ENZO GABRIEL TEIXEIRA, 84
MIRTES
35827-828 NASCIMENTO / RS",distrito federal
Lorenzo Monteiro,43,069.471.258-20,1980-07-16,"ÁREA DA MOTA, 13
MINAS CAIXA
62104258 BARBOSA DO SUL / AP",mato grosso do sul
Caroline Cardoso,51,618.307.245-17,1972-09-08,"VIADUTO DE MOREIRA, 1
VERA CRUZ
02303138 GONÇALVES DO NORTE / DF",amazonas
Henrique Da Rocha,21,329.504.167-99,2003-01-09,"NÚCLEO LUIZ GUSTAVO COSTELA, 99
JULIANA
43635569 PEIXOTO / SE",minas gerais
Lucas Gabriel Oliveira,51,743.568.920-38,1972-08-04,"VIA ARAÚJO
SÃO CRISTÓVÃO
08165-622 PEIXOTO DE DA ROCHA / SE",rio grande do sul
Sr. Arthur Jesus,96,418.370.659-93,1927-05-27,"LAGO DE CARDOSO
SANTA CECILIA
78099-314 SANTOS DO NORTE / MG",mato grosso
Marcos Vinicius Da Cunha,48,572.130.964-43,1976-01-16,"VIADUTO DE CARDOSO
INCONFIDÊNCIA
16426-137 CASTRO / PA",amapá
Antônio Nogueira,19,061.387.542-71,2004-08-11,"QUADRA DE DA MATA, 49
OURO MINAS
00289438 CAVALCANTI DA PRATA / MT",pernambuco
Sophia Monteiro,90,601.245.398-15,1933-10-22,"NÚCLEO ARAÚJO, 155
LINDÉIA
82317-263 CAMPOS / PA",minas gerais
Dr. Leandro Silva,56,497.058.612-85,1967-12-07,"ESTAÇÃO SILVA, 18
SERRA
11636951 DAS NEVES DO AMPARO / AM",pernambuco
Amanda Farias,99,185.243.670-08,1924-07-31,"PRAIA LAVÍNIA MORAES, 29
CONJUNTO JATOBA
41571-037 DA LUZ / RJ",rio de janeiro
Srta. Luna Peixoto,53,912.405.387-23,1970-12-14,"FAZENDA RAFAELA COSTELA, 37
HAVAÍ
52291-254 ROCHA / CE",amapá
Sr. Igor Campos,54,183.502.746-62,1969-08-17,"FAZENDA FERREIRA, 849
LAGOA
49587-081 VIEIRA DO NORTE / AP",tocantins
Maria Sophia Correia,98,948.731.065-75,1925-10-03,"RESIDENCIAL ALANA DIAS, 51
VITORIA
01961759 GOMES DE DA CRUZ / TO",tocantins
Bruno Da Cruz,22,293.415.687-73,2001-06-02,"RUA EVELYN DA CUNHA, 2
ALTA TENSÃO 1ª SEÇÃO
88048-422 DA ROCHA DO AMPARO / ES",espírito santo
Amanda Cavalcanti,55,351.698.247-00,1968-12-13,"FAZENDA DE DUARTE, 99
SÃO SEBASTIÃO
38375-389 PIRES / AC",roraima
Bruno Melo,58,721.469.053-52,1965-06-26,"TREVO DE DA COSTA, 7
ESPLANADA
45022-514 FERNANDES DE COSTELA / AC",roraima
Dra. Elisa Nunes,35,875.013.249-05,1989-01-12,"VALE ERICK MOREIRA, 48
VILA NOVA CACHOEIRINHA 2ª SEÇÃO
07868-934 DA CUNHA / AP",rio grande do norte
Calebe Ramos,59,942.816.307-40,1964-05-05,"PARQUE DE MORAES, 36
GUTIERREZ
82171525 PEIXOTO DE FERNANDES / TO",rio grande do sul
Sr. Arthur Moraes,80,306.927.841-87,1943-10-01,"PASSARELA LIMA, 87
JATOBÁ
09721-169 VIANA ALEGRE / RJ",roraima
Júlia Silveira,73,913.476.508-57,1950-11-18,"PÁTIO VITOR GABRIEL ROCHA
SÃO JOÃO BATISTA
91484973 PEREIRA DA PRATA / SC",rio de janeiro
Sra. Isabelly Silva,34,732.568.049-00,1989-08-28,"RODOVIA AGATHA LOPES, 7
VILA SÃO GABRIEL
31198992 DA LUZ / DF",pará
Dr. Otávio Azevedo,79,457.821.069-30,1944-11-09,"AEROPORTO DE FERREIRA, 2
SANTA HELENA
28302071 OLIVEIRA DAS FLORES / CE",pernambuco
Maria Cecília Aragão,99,264.571.809-49,1925-01-09,"TREVO ARAGÃO, 535
SALGADO FILHO
51800-056 CARVALHO DA PRATA / GO",são paulo
Noah Da Rosa,58,742.960.813-22,1965-05-02,"AVENIDA FERREIRA, 7
ANTONIO RIBEIRO DE ABREU 1ª SEÇÃO
17090-502 RODRIGUES / DF",pernambuco
Sra. Laura Azevedo,37,540.326.187-71,1986-06-16,"VIADUTO MARCELO RAMOS
UNIVERSO
53602-558 CUNHA DO GALHO / SP",rio grande do norte
Dr. Francisco Moreira,24,702.483.165-08,1999-08-25,"NÚCLEO SILVA, 7
JARAGUÁ
74430032 SILVEIRA DE GOIÁS / CE",rondônia
Mariane Das Neves,44,912.546.308-05,1979-10-27,"RODOVIA DE FREITAS, 782
PARQUE SÃO JOSÉ
53886812 DAS NEVES DAS FLORES / SC",piauí
Enzo Monteiro,33,309.546.872-56,1990-09-15,"QUADRA SILVEIRA, 76
JOÃO PAULO II
90482-858 REZENDE DOS DOURADOS / MG",piauí
Diego Da Rocha,36,093.845.726-83,1988-01-24,"CONJUNTO DA ROSA, 22
PINDURA SAIA
13568-214 RAMOS DA SERRA / MS",piauí
Ana Laura Da Cruz,86,798.526.104-49,1937-04-28,"PARQUE RODRIGUES
VILA DA AMIZADE
99639-698 COSTA / RO",espírito santo
Ana Sophia Gomes,44,384.961.725-46,1979-07-27,"LAGOA PORTO, 44
UNIDAS
73111211 ALVES / GO",pernambuco
Ana Laura Costa,52,502.176.894-85,1971-08-17,"VILA SALES, 913
BELA VITORIA
24276968 MONTEIRO / SP",rio grande do sul
Felipe Souza,55,187.950.346-84,1968-09-30,"SETOR PEIXOTO, 47
PALMEIRAS
57575529 DA CRUZ / SE",pará
Luana Novaes,78,287.430.169-87,1945-12-05,"PARQUE LUIZ GUSTAVO DA CONCEIÇÃO, 34
SANTA MARGARIDA
94925-425 RODRIGUES ALEGRE / RS",ceará
Sra. Yasmin Nogueira,48,360.925.841-15,1975-10-29,"LAGO DE ROCHA, 482
BELMONTE
74471-918 ROCHA DA MATA / PE",goiás
Benício Melo,21,904.652.781-67,2002-12-07,"RECANTO MAITÊ PEREIRA
VILA SUZANA PRIMEIRA SEÇÃO
94645-027 SILVA / DF",rio grande do norte
Daniela Aragão,58,726.304.851-53,1965-07-06,"FEIRA OTÁVIO PEREIRA, 93
PIRAJA
78140-773 CORREIA / RR",paraíba
Davi Luiz Sales,44,740.692.138-13,1979-07-24,"TRECHO JOÃO GABRIEL PIRES, 64
NOVA PAMPULHA
61230820 SOUZA DA SERRA / RS",amapá
Milena Souza,85,904.358.126-70,1938-10-08,"PRAÇA DE RIBEIRO, 9
SANTA INÊS
38053-049 AZEVEDO / SP",bahia
Maria Eduarda Ferreira,74,438.256.190-60,1949-09-28,"PASSARELA DE CALDEIRA
VILA SESC
50710-500 CUNHA DE DIAS / AP",rondônia
Sr. Diogo Lima,29,302.846.957-00,1994-12-06,"ESTRADA DANILO MONTEIRO
CONJUNTO CALIFÓRNIA II
38793-887 DA MATA ALEGRE / BA",mato grosso
Dr. Carlos Eduardo Araújo,39,496.802.735-47,1984-11-09,"RODOVIA SOPHIA RODRIGUES, 88
VILA INDEPENDENCIA 2ª SEÇÃO
76814388 PIRES / RR",paraná
Marina Gomes,98,934.587.620-00,1925-12-25,"LAGOA SOUZA
COPACABANA
16768543 MONTEIRO / ES",santa catarina
Gustavo Henrique Duarte,23,254.130.968-60,2000-05-29,"ÁREA ANA SOPHIA PEREIRA, 32
MINAS CAIXA
69026-029 CALDEIRA DO OESTE / TO",minas gerais
Caio Ramos,27,832.941.657-73,1996-11-06,"VIADUTO DE SALES, 92
BURACO QUENTE
13458-643 NUNES / AL",paraíba
Rafael Nunes,88,462.971.358-19,1935-04-10,"NÚCLEO MONTEIRO, 504
SÃO BERNARDO
15990-096 PORTO / TO",mato grosso
Enzo Gabriel Cardoso,37,726.801.549-67,1987-01-26,"NÚCLEO RIBEIRO
VILA NOVA CACHOEIRINHA 1ª SEÇÃO
13917300 FERREIRA DAS FLORES / PE",são paulo
Davi Cardoso,18,065.781.243-90,2005-07-25,"PRAÇA ANA JÚLIA REZENDE, 38
VILA COQUEIRAL
41709963 SILVEIRA / PA",rio grande do sul
Daniel Pires,39,274.530.968-47,1984-06-13,"AVENIDA BRUNA RODRIGUES, 724
DIAMANTE
12678-518 REZENDE DO GALHO / ES",paraíba
Brenda Da Mata,44,532.841.679-19,1980-02-29,"PÁTIO ROCHA, 75
HAVAÍ
43098627 DA CUNHA / AC",ceará
Samuel Dias,38,852.910.634-24,1985-11-17,"VIADUTO ENZO GABRIEL MOREIRA, 72
VILA REAL 2ª SEÇÃO
01069636 SALES DE GOIÁS / CE",rio grande do norte
Gustavo Henrique Da Costa,19,917.230.485-50,2005-03-08,"RESIDENCIAL RIBEIRO, 60
FLAMENGO
74294090 RIBEIRO / RO",alagoas
Theo Fogaça,48,091.584.236-05,1975-06-26,"TRAVESSA CARDOSO, 95
ALTA TENSÃO 1ª SEÇÃO
42836-344 LIMA / MT",acre
Sra. Alexia Carvalho,24,483.106.527-71,2000-03-31,"QUADRA LORENZO PIRES
VILA OLHOS D'ÁGUA
03485618 DA ROSA DE CORREIA / AC",rondônia
Juliana Martins,84,432.807.956-56,1939-06-04,"CAMPO DE SOUZA
VILA JARDIM SÃO JOSÉ
04692667 CARVALHO / RR",bahia
Luiz Gustavo Da Rosa,85,280.753.914-97,1938-06-09,"VIA DE DA PAZ, 5
DONA CLARA
30465-337 OLIVEIRA DE GOIÁS / AL",paraná
Gabriela Freitas,30,367.520.481-26,1994-03-10,"TREVO CARVALHO, 9
GRAJAÚ
40077-715 MORAES DA SERRA / BA",rio grande do norte
Enzo Gabriel Vieira,22,812.564.079-76,2002-01-28,"TRAVESSA NOVAES
BOA VISTA
29032951 ARAGÃO / TO",rio de janeiro
Srta. Luna Nascimento,69,815.732.049-60,1954-06-13,"PASSARELA DE NASCIMENTO, 916
JOÃO PAULO II
86360-200 DUARTE DO AMPARO / AL",rio de janeiro
Sophie Da Mata,70,971.238.045-97,1953-04-10,"AVENIDA DE ALMEIDA, 78
VILA ATILA DE PAIVA
41400947 DA CUNHA / AL",maranhão
Clarice Alves,22,973.846.520-65,2001-12-02,"AVENIDA HELOÍSA COSTA
CABANA DO PAI TOMÁS
54742254 CAVALCANTI / AC",mato grosso
Catarina Rodrigues,84,138.640.975-84,1939-11-26,"NÚCLEO FARIAS, 97
LOURDES
55915-124 GOMES DE SOUZA / RR",paraná
Antônio Vieira,89,017.236.854-53,1934-10-25,"FAVELA DE LOPES, 473
LAGOINHA LEBLON
41398-890 PEIXOTO / PR",sergipe
Dr. Nicolas Da Conceição,25,105.236.748-80,1998-06-04,"QUADRA MARIANA COSTELA, 87
GRAJAÚ
64615642 FERREIRA / BA",roraima
Maria Alice Da Costa,88,290.738.654-92,1936-02-17,"RUA CARDOSO, 76
OLHOS D'ÁGUA
25842688 BARROS ALEGRE / MA",amapá
Sr. Lucca Martins,56,906.435.128-70,1967-08-30,"PÁTIO PAULO DA ROSA, 93
BELVEDERE
57898-196 MELO / TO",tocantins
João Pedro Costa,68,532.940.718-41,1955-09-12,"FEIRA CARDOSO
CONJUNTO MINAS CAIXA
88969-195 DA MATA / RN",ceará
Maitê Gonçalves,97,034.719.856-20,1926-09-20,"DISTRITO GIOVANNA RODRIGUES, 37
MARIETA 3ª SEÇÃO
62839-349 DA MATA / PR",acre
Ana Laura Ferreira,72,326.490.578-74,1952-01-29,"ESTRADA DE RAMOS
GARÇAS
28169898 SANTOS DAS PEDRAS / RO",paraná
Sabrina Da Mata,30,172.548.960-02,1994-01-31,"VIELA DE MORAES, 56
VILA MARIA
42762903 FOGAÇA DE GOIÁS / MS",rio grande do sul
Alexandre Das Neves,93,183.904.625-24,1930-07-19,"ÁREA DE NOVAES, 52
ITAPOA
66232412 FOGAÇA DO OESTE / ES",acre
Isadora Da Cunha,54,471.928.063-31,1969-08-31,"VIADUTO FREITAS, 622
JARDIM ATLÂNTICO
10686-144 DA ROCHA PAULISTA / PE",minas gerais
Dr. Luigi Fernandes,72,834.265.197-55,1951-07-16,"DISTRITO THOMAS PIRES, 77
BAIRRO DAS INDÚSTRIAS II
44279-855 DA CUNHA / MT",amapá
Sr. Yago Cavalcanti,93,758.901.423-05,1931-03-01,"ESTRADA MELO
VILA INDEPENDENCIA 3ª SEÇÃO
33664610 CARDOSO / AM",amapá
Carolina Peixoto,63,396.720.418-96,1960-06-26,"LOTEAMENTO DIAS, 21
CAMPONESA 1ª SEÇÃO
82741936 DA ROSA / RN",amazonas
Ana Lívia Porto,74,067.412.835-44,1949-09-26,"COLÔNIA VIEIRA, 6
MILIONARIO
96648865 MORAES / SE",mato grosso do sul
Henrique Da Mata,33,896.724.305-74,1990-12-25,"AEROPORTO VINICIUS REZENDE, 18
CONJUNTO SÃO FRANCISCO DE ASSIS
55527-291 DA PAZ DO CAMPO / PR",rio de janeiro
Enrico Aragão,93,490.851.376-75,1930-06-30,"PRAÇA ALMEIDA, 95
VILA NOVO SÃO LUCAS
69709-867 MORAES / AP",bahia
Milena Cavalcanti,25,523.064.179-70,1998-09-15,"TRECHO KEVIN CASTRO, 70
SÃO GERALDO
98131993 SALES / PR",tocantins
Davi Lucca Melo,96,731.984.025-14,1928-02-22,"PASSARELA KAMILLY MOREIRA, 704
CARDOSO
41864-156 DA CUNHA / SP",goiás
Clarice Fernandes,87,192.763.485-73,1936-12-27,"VEREDA JESUS, 7
ESPLANADA
50230404 TEIXEIRA VERDE / SP",pará
Dr. Luiz Fernando Das Neves,58,146.387.259-37,1966-02-21,"VIADUTO DE MARTINS, 24
VILA ANTENA
55987-196 ARAÚJO DO AMPARO / RO",ceará
Caio Azevedo,73,428.759.361-82,1951-03-04,"LARGO CARDOSO, 23
VILA NOVA GAMELEIRA 2ª SEÇÃO
29717727 FERREIRA / AL",são paulo
Enrico Novaes,73,457.692.038-38,1950-11-08,"VILA HELOÍSA BARBOSA, 666
CONJUNTO SÃO FRANCISCO DE ASSIS
19537340 FARIAS / RN",pará
Ana Clara Moreira,87,075.412.368-53,1936-12-15,"RESIDENCIAL DE ARAGÃO
ANDIROBA
91004-368 CARDOSO / SC",piauí
Enrico Ribeiro,26,965.734.108-66,1998-02-24,"LOTEAMENTO LOPES, 2
VILA SATÉLITE
54279721 RAMOS DA PRATA / CE",paraná
Evelyn Aragão,85,548.372.061-07,1938-04-19,"ESTRADA REBECA CALDEIRA, 440
MARÇOLA
11027-170 FREITAS GRANDE / GO",espírito santo
Thales Moreira,63,406.135.728-07,1960-07-31,"QUADRA FARIAS
JARDIM GUANABARA
71294724 CALDEIRA / RO",roraima
Heitor Mendes,56,097.426.351-61,1968-01-13,"LAGOA DE FARIAS
ALTA TENSÃO 2ª SEÇÃO
86838429 PIRES / AL",amazonas
Sarah Nascimento,40,938.574.026-10,1983-05-14,"LARGO DE DA COSTA, 400
VILA JARDIM ALVORADA
20608-388 CARDOSO DE CARDOSO / CE",rondônia
Sra. Yasmin Melo,18,510.274.968-49,2005-07-22,"LOTEAMENTO ALMEIDA, 821
CONJUNTO SANTA MARIA
15401946 NUNES DE GOIÁS / TO",pernambuco
Sr. Marcelo Costela,23,895.603.427-38,2000-08-16,"CHÁCARA CLARICE DA COSTA, 135
CARDOSO
90569-230 DA LUZ VERDE / BA",piauí
Maria Cecília Araújo,76,752.943.601-52,1948-03-20,"DISTRITO NATHAN MELO, 3
UNIVERSITÁRIO
45685584 ALMEIDA / PA",minas gerais
Enzo Gabriel Ribeiro,63,965.231.708-02,1960-06-20,"RECANTO NUNES, 87
VILA UNIÃO
40623-455 MOURA / AP",roraima
Miguel Da Rosa,43,168.907.235-03,1980-04-24,"ESPLANADA CARVALHO, 8
PAULO VI
43997-378 CORREIA / CE",goiás
Maria Vitória Ferreira,23,914.863.027-69,2000-11-09,"LAGO LIMA, 6
PROVIDENCIA
64509-958 PORTO / SP",ceará
Sr. Vitor Gabriel Gomes,48,348.902.157-60,1975-11-29,"VALE COSTELA, 49
JONAS VEIGA
14400-610 NOGUEIRA / MT",alagoas
Bianca Pinto,80,541.908.362-06,1943-05-29,"LAGOA SALES, 43
VILA SANTA MONICA 2ª SEÇÃO
48899443 JESUS / AL",goiás
Igor Melo,97,519.307.648-39,1927-03-31,"VIADUTO NOGUEIRA
GROTA
13502920 FERREIRA DO NORTE / RO",são paulo
Sra. Vitória Carvalho,35,528.049.736-38,1989-02-20,"JARDIM FERNANDA MOURA, 767
CDI JATOBA
32504010 MOREIRA DOS DOURADOS / AM",mato grosso
Sofia Duarte,18,412.835.697-28,2005-07-09,"MORRO ISAAC FREITAS, 543
VILA NOVA CACHOEIRINHA 2ª SEÇÃO
97116686 COSTELA / RR",rio grande do norte
Brenda Nogueira,56,160.294.358-33,1967-07-23,"PÁTIO DE ALMEIDA, 4
MALA E CUIA
08990015 ARAGÃO DA MATA / TO",amazonas
Rafael Fogaça,93,569.137.028-68,1931-03-04,"SETOR DE DA ROSA, 401
NOVA VISTA
61631-368 CAVALCANTI DO AMPARO / SP",maranhão
Ana Nascimento,72,295.701.634-61,1951-11-22,"CHÁCARA DE MARTINS, 14
NOSSA SENHORA DO ROSÁRIO
72885-747 MOREIRA / RN",amapá
Dr. Juan Da Rocha,74,475.683.021-80,1949-10-02,"LADEIRA DE DA MOTA, 16
VILA JARDIM LEBLON
67696-414 NASCIMENTO DO AMPARO / MT",amazonas
Ana Laura Rocha,32,531.672.409-70,1992-01-11,"SÍTIO THOMAS RODRIGUES, 41
SÃO DAMIÃO
21922138 PINTO / AL",piauí
Maria Alice Da Rocha,90,906.324.817-22,1933-12-22,"TRAVESSA DE CORREIA, 46
GUARANI
34453-251 SOUZA / AC",são paulo
Elisa Lopes,99,790.412.658-30,1924-07-02,"PASSARELA ALEXANDRE DA CUNHA
VILA COQUEIRAL
15467-423 CUNHA / RR",mato grosso
Davi Lucca Pereira,70,597.038.421-60,1954-01-28,"JARDIM DE BARROS, 16
VILA CALIFÓRNIA
19490812 TEIXEIRA ALEGRE / CE",amazonas
Marina Fogaça,61,410.275.689-20,1962-04-07,"PRAÇA LUIZ HENRIQUE CORREIA, 81
GUARATÃ
57294-260 PEREIRA / PE",goiás
Bernardo Ramos,80,105.689.243-98,1943-09-03,"LAGOA LUIZA GONÇALVES, 979
PIRATININGA
04066541 DA MATA / SE",amapá
Ana Lívia Lopes,63,971.503.862-02,1960-11-10,"PARQUE DE BARBOSA, 57
ANCHIETA
16750-400 LIMA / GO",ceará
Miguel Silva,40,920.437.568-00,1984-02-28,"LADEIRA DAS NEVES, 9
NOVA FLORESTA
61985548 CARVALHO DO SUL / PE",rondônia
Sr. Arthur Da Cruz,83,693.084.275-38,1940-06-24,"LAGO DE CAVALCANTI
VILA BETÂNIA
10086-430 NUNES / TO",sergipe
Julia Da Mota,75,571.402.968-20,1948-09-30,"FEIRA NOGUEIRA, 68
SANTO ANTÔNIO
23309816 DA CUNHA DO CAMPO / TO",rio de janeiro
Agatha Rocha,52,853.279.160-30,1971-11-01,"SETOR DE DIAS
SÃO BENEDITO
48841767 SALES DA SERRA / RS",alagoas
Isabel Cardoso,95,608.127.493-40,1928-08-11,"CAMPO DA MATA, 42
MORRO DOS MACACOS
65731-340 SANTOS / MG",mato grosso do sul
Marcos Vinicius Moura,64,451.293.876-19,1959-11-29,"PARQUE DIAS, 687
PAULO VI
49685-024 MENDES / PR",rio de janeiro
Levi Da Cunha,98,718.469.350-75,1925-04-28,"COLÔNIA DE VIANA, 6
PONGELUPE
67120-856 JESUS ALEGRE / SE",alagoas
Cauã Vieira,76,427.103.569-61,1947-07-29,"VIA DA MATA
BERNADETE
38006-140 CAMPOS / RO",piauí
Maria Alice Ferreira,37,105.239.746-80,1986-05-01,"PRAÇA DE DUARTE, 194
GUARANI
14287-231 CAMPOS DAS FLORES / MT",amapá
Dra. Isabelly Souza,33,725.469.810-30,1990-05-23,"CAMPO DE MOURA, 60
PRIMEIRO DE MAIO
96794431 MARTINS GRANDE / RN",distrito federal
